Província,Distrito,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46
Niassa,Lago,11,24,22,28,35,56,58,47,64,45,17,12,14,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Lichinga,105,185,281,195,161,153,153,100,66,44,27,19,27,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Mecanhelas,42,58,67,31,34,28,56,27,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Sanga,31,13,17,17,23,16,5,3,11,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Mandimba*,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Chimbunila,5,7,10,11,9,25,13,20,13,5,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Majune,0,0,0,0,0,0,0,21,34,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Ngauma*,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Muembe*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Mavago,0,0,0,0,0,0,0,0,0,0,0,0,46,10,11,34,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niassa,Marrupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Cidade de Tete,12,45,58,32,25,44,21,51,53,42,31,127,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Angónia,0,4,23,33,45,44,37,30,31,20,23,13,13,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Chiúta,1,6,6,11,40,73,37,11,17,9,4,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Mutarara,6,4,7,11,54,9,16,51,15,14,12,17,17,19,18,7,9,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Marara,0,0,0,11,15,17,13,11,7,7,6,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Cahora Bassa,0,0,0,0,6,14,8,14,18,13,6,21,21,0,2,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Tsangano,43,40,34,42,24,17,11,7,8,10,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Moatize,0,3,36,22,18,11,1,1,3,3,0,18,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,18,14,32,39,16
Tete,Doa,1,10,11,6,38,37,42,14,37,30,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Chifunde,20,23,19,24,36,48,66,29,15,37,15,29,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Macanga,0,0,0,0,0,0,0,0,12,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,22,17,14,5,4,2
Tete,Zumbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,286,203,127,19
Tete,Magoe,0,0,0,0,0,0,0,0,0,0,97,11,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tete,Maravia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Sofala,Caia,63,35,31,62,47,46,29,27,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Marromeu,5,20,22,73,57,55,65,61,50,105,86,93,93,34,23,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Cheringoma,2,21,37,26,18,21,13,8,5,14,7,22,22,2,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Maringue,0,0,12,7,13,23,24,11,10,5,4,6,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Búzi*,0,0,0,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Chibabava,3,4,7,2,0,0,0,0,0,0,0,0,0,32,3,2,5,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Gorongoza,0,0,0,10,14,5,14,11,8,12,14,15,15,16,9,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Muanza,0,0,0,0,2,3,4,5,8,3,12,13,13,12,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Beira,0,0,0,0,0,0,134,158,278,357,396,315,315,223,135,94,59,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Nhamatanda,0,0,0,0,0,0,2,8,11,26,36,94,126,133,163,145,176,153,119,228,181,92,41,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Dondo,0,0,0,0,0,0,0,0,0,0,0,118,127,123,91,60,43,22,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Machanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,19,17,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofala,Chemba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,50,17,47,23,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Tambara,1,0,0,0,0,30,3,9,9,4,1,1,1,2,3,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Chimoio,7,1,2,9,13,11,4,22,67,136,176,153,210,50,28,12,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Manica,18,0,0,0,16,0,11,64,78,19,26,30,31,23,22,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Gondola,2,0,0,0,0,0,0,0,0,17,26,34,34,18,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Vanduzi,0,0,0,0,0,0,0,0,6,12,15,20,19,15,22,33,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manica,Macati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaza,Xai-Xai*,7,21,10,2,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaza,Massingir*,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inhambane,Govuro,0,0,0,0,0,0,0,0,7,14,16,22,1,62,81,38,45,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Milange*,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Quelimane,0,0,0,0,0,0,0,0,0,138,1564,4921,3178,1680,347,164,105,40,29,30,26,26,23,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Nicoadala,0,0,0,0,0,0,0,0,0,0,0,19,27,39,35,25,21,10,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Inhassunge,0,0,0,0,0,0,0,0,0,0,0,30,64,26,17,15,18,3,11,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Maganja da Costa,0,0,0,0,0,0,0,0,0,0,0,0,20,8,4,11,2,2,0,18,58,65,142,116,60,28,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Namacurra,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambézia,Gurue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,96
Zambézia,Gile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,24
Zambézia,Mocuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73
Cabo Delgado,Pemba,0,0,0,0,0,0,0,0,0,4,16,68,125,92,107,97,73,68,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Meluco,0,0,0,0,0,0,0,0,0,0,0,2,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Namuno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Ibo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Macomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,55,36,37,28,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Mueda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,16,10,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Mocimboa da Praia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,19,12,12,9,2,2,0,0,0,0,0,0,0,0,0,0
Cabo Delgado,Montepuez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,19,53,52,70,64,61
Cabo Delgado,Chiure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64
Nampula,Nacala Porto,0,0,0,0,0,0,0,0,0,0,0,0,227,239,267,198,186,100,93,75,96,63,26,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Cidade de Nampula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,39,14,14,12,11,9,35,27,26,27,23,27,22,49,86,133,112,141,172,109,101,127,48,101,87,37,30,28,12,16
Nampula,Memba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,108,97,76,49,22,22,22,17,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Meconta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,13,6,10,5,6,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampula,Erati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,26,38,32,21,23,19,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Cidade,KaTembe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Cidade,KaMubukwana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maputo Provincia,Matutuine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
